asset,window,pnl_per_yr,sharpe,sortino,max_dd_pct,tv_dd_pct,win,pf,trades,emaExitBandPct,trailTightenTriggerPct,trailTightPct
SPY,IS,1479,0.478,0.646,24.5,8.6,45.8,3.28,24,0.0,0.0,15.25
SPY,OOS,1455,0.357,0.471,22.6,9.3,33.3,3.69,6,0.0,0.0,15.25
SPY,HOLDOUT,3114,0.875,1.21,18.2,7.1,42.9,4.49,7,0.0,0.0,15.25
SPY,RECENT,2373,0.625,0.843,24.0,10.6,38.5,4.1,13,0.0,0.0,15.25
SPY,FULL,1800,0.535,0.722,24.5,11.2,43.2,3.63,37,0.0,0.0,15.25
QQQ,IS,2535,0.54,0.707,32.7,18.5,34.8,3.61,23,0.0,0.0,15.25
QQQ,OOS,5187,0.767,1.044,33.0,4.6,40.0,10.0,5,0.0,0.0,15.25
QQQ,HOLDOUT,4410,0.842,1.169,32.7,8.2,40.0,6.57,5,0.0,0.0,15.25
QQQ,RECENT,4757,0.797,1.094,35.4,8.2,40.0,10.0,10,0.0,0.0,15.25
QQQ,FULL,3333,0.643,0.86,35.4,18.5,36.4,5.27,33,0.0,0.0,15.25
SMH,IS,2506,0.469,0.637,35.1,25.3,34.5,2.68,29,0.0,0.0,15.25
SMH,OOS,3556,0.436,0.605,40.4,20.5,37.5,4.43,8,0.0,0.0,15.25
SMH,HOLDOUT,6261,0.697,0.968,33.7,15.0,55.6,6.53,9,0.0,0.0,15.25
SMH,RECENT,5053,0.586,0.814,47.3,26.8,47.1,5.33,17,0.0,0.0,15.25
SMH,FULL,3420,0.51,0.702,47.3,26.8,39.1,3.75,46,0.0,0.0,15.25
IWM,IS,1360,0.337,0.461,28.9,12.6,27.6,2.29,29,0.0,0.0,15.25
IWM,OOS,1263,0.246,0.344,24.7,12.4,14.3,2.39,7,0.0,0.0,15.25
IWM,HOLDOUT,987,0.212,0.305,18.0,14.9,33.3,1.72,9,0.0,0.0,15.25
IWM,RECENT,1110,0.228,0.323,39.2,22.4,25.0,2.02,16,0.0,0.0,15.25
IWM,FULL,1270,0.292,0.406,39.2,22.4,26.7,2.18,45,0.0,0.0,15.25
SPY,IS,1503,0.462,0.617,26.3,10.9,37.5,3.19,16,0.5,0.0,15.25
SPY,OOS,2387,0.531,0.707,22.2,7.2,40.0,7.69,5,0.5,0.0,15.25
SPY,HOLDOUT,3464,0.975,1.371,16.0,5.0,60.0,9.26,5,0.5,0.0,15.25
SPY,RECENT,2983,0.746,1.016,23.4,8.3,50.0,8.34,10,0.5,0.0,15.25
SPY,FULL,2034,0.575,0.775,26.3,10.9,42.3,4.94,26,0.5,0.0,15.25
QQQ,IS,2303,0.487,0.636,35.8,19.2,38.1,3.22,21,0.5,0.0,15.25
QQQ,OOS,4644,0.681,0.925,39.1,10.2,40.0,7.48,5,0.5,0.0,15.25
QQQ,HOLDOUT,4586,0.876,1.217,32.7,7.5,50.0,9.36,4,0.5,0.0,15.25
QQQ,RECENT,4612,0.769,1.055,42.8,15.1,44.4,8.17,9,0.5,0.0,15.25
QQQ,FULL,3132,0.6,0.802,42.8,19.2,40.0,4.58,30,0.5,0.0,15.25
SMH,IS,3522,0.616,0.846,33.4,15.1,40.0,4.08,20,0.5,0.0,15.25
SMH,OOS,4182,0.481,0.67,43.5,23.6,42.9,4.79,7,0.5,0.0,15.25
SMH,HOLDOUT,6261,0.697,0.968,33.7,15.0,55.6,6.53,9,0.5,0.0,15.25
SMH,RECENT,5332,0.602,0.838,50.4,29.9,50.0,5.49,16,0.5,0.0,15.25
SMH,FULL,4172,0.595,0.823,50.4,29.9,44.4,4.76,36,0.5,0.0,15.25
IWM,IS,1002,0.249,0.339,28.3,15.0,23.1,1.7,26,0.5,0.0,15.25
IWM,OOS,774,0.149,0.209,24.6,16.3,33.3,2.05,6,0.5,0.0,15.25
IWM,HOLDOUT,2364,0.47,0.686,19.1,13.3,25.0,1.14,4,0.5,0.0,15.25
IWM,RECENT,1654,0.324,0.464,37.6,19.5,30.0,1.64,10,0.5,0.0,15.25
IWM,FULL,1236,0.279,0.388,40.0,27.9,25.0,1.68,36,0.5,0.0,15.25
SPY,IS,1683,0.486,0.652,25.8,7.8,38.5,3.92,13,1.0,0.0,15.25
SPY,OOS,1738,0.389,0.513,28.3,6.1,50.0,7.36,4,1.0,0.0,15.25
SPY,HOLDOUT,3387,0.961,1.348,14.0,2.5,75.0,10.0,4,1.0,0.0,15.25
SPY,RECENT,2651,0.667,0.903,30.4,8.5,62.5,10.0,8,1.0,0.0,15.25
SPY,FULL,2031,0.556,0.748,30.4,8.5,47.6,6.0,21,1.0,0.0,15.25
QQQ,IS,1735,0.369,0.48,41.2,22.7,28.6,2.26,21,1.0,0.0,15.25
QQQ,OOS,4644,0.681,0.925,39.1,10.2,40.0,7.48,5,1.0,0.0,15.25
QQQ,HOLDOUT,4469,0.852,1.182,32.7,7.5,50.0,9.24,4,1.0,0.0,15.25
QQQ,RECENT,4547,0.758,1.039,42.8,15.1,44.4,8.13,9,1.0,0.0,15.25
QQQ,FULL,2745,0.527,0.702,42.8,22.7,33.3,3.62,30,1.0,0.0,15.25
SMH,IS,3223,0.569,0.78,37.5,11.9,38.9,3.82,18,1.0,0.0,15.25
SMH,OOS,4615,0.532,0.742,38.7,17.7,60.0,5.97,5,1.0,0.0,15.25
SMH,HOLDOUT,6059,0.674,0.937,33.7,15.0,55.6,5.49,9,1.0,0.0,15.25
SMH,RECENT,5414,0.612,0.851,48.4,28.0,57.1,5.73,14,1.0,0.0,15.25
SMH,FULL,4009,0.575,0.795,48.4,28.0,46.9,4.71,32,1.0,0.0,15.25
IWM,IS,645,0.16,0.215,35.1,18.5,24.0,1.37,25,1.0,0.0,15.25
IWM,OOS,681,0.13,0.181,25.8,16.3,33.3,1.82,6,1.0,0.0,15.25
IWM,HOLDOUT,2408,0.479,0.698,19.1,13.3,25.0,1.2,4,1.0,0.0,15.25
IWM,RECENT,1636,0.32,0.456,38.3,21.7,30.0,1.57,10,1.0,0.0,15.25
IWM,FULL,1001,0.225,0.311,44.5,32.5,25.7,1.43,35,1.0,0.0,15.25
SPY,IS,1566,0.452,0.605,26.8,11.0,33.3,3.24,12,1.5,0.0,15.25
SPY,OOS,1334,0.3,0.393,30.5,8.5,50.0,4.94,4,1.5,0.0,15.25
SPY,HOLDOUT,2423,0.667,0.908,20.3,6.6,75.0,5.69,4,1.5,0.0,15.25
SPY,RECENT,1936,0.482,0.642,37.0,15.1,62.5,5.23,8,1.5,0.0,15.25
SPY,FULL,1699,0.463,0.618,37.0,15.1,45.0,3.97,20,1.5,0.0,15.25
QQQ,IS,1603,0.34,0.441,40.0,31.6,31.6,2.01,19,1.5,0.0,15.25
QQQ,OOS,4888,0.718,0.975,37.6,8.8,50.0,10.0,4,1.5,0.0,15.25
QQQ,HOLDOUT,4496,0.857,1.19,32.7,7.5,50.0,9.31,4,1.5,0.0,15.25
QQQ,RECENT,4671,0.779,1.068,40.0,12.3,50.0,9.88,8,1.5,0.0,15.25
QQQ,FULL,2704,0.519,0.691,40.0,31.6,37.0,3.43,27,1.5,0.0,15.25
SMH,IS,3164,0.554,0.76,38.9,12.6,37.5,3.89,16,1.5,0.0,15.25
SMH,OOS,4615,0.532,0.742,38.7,17.7,60.0,5.97,5,1.5,0.0,15.25
SMH,HOLDOUT,6059,0.674,0.937,33.7,15.0,55.6,5.49,9,1.5,0.0,15.25
SMH,RECENT,5414,0.612,0.851,48.4,28.0,57.1,5.73,14,1.5,0.0,15.25
SMH,FULL,3972,0.568,0.784,48.4,28.0,46.7,4.77,30,1.5,0.0,15.25
IWM,IS,635,0.156,0.212,32.5,20.3,30.0,1.39,20,1.5,0.0,15.25
IWM,OOS,476,0.089,0.123,26.9,19.3,20.0,1.71,5,1.5,0.0,15.25
