asset,window,pnl_per_yr,sharpe,sortino,max_dd_pct,win_rate,pf,trades,ov_campaigns,ov_pnl,ov_pf
SPY,IS,1539,0.49,0.66,24.9,63.6,3.11,176,51,699,1.8
SPY,OOS,1484,0.36,0.47,22.9,60.0,3.46,40,12,109,1.4
SPY,HOLDOUT,3167,0.88,1.22,18.2,70.3,4.36,37,10,200,2.3
SPY,FULL,1854,0.54,0.73,24.9,64.0,3.44,253,72,1008,1.78
QQQ,IS,2570,0.54,0.71,33.0,58.4,3.38,185,54,422,1.36
QQQ,OOS,5208,0.76,1.04,33.2,61.4,10.0,44,13,64,1.22
QQQ,HOLDOUT,4425,0.84,1.17,32.9,58.6,6.15,29,8,53,1.28
QQQ,FULL,3361,0.64,0.86,35.6,58.9,4.85,258,75,539,1.33
SMH,IS,2579,0.48,0.65,35.6,69.2,2.68,146,39,888,2.67
SMH,OOS,3597,0.44,0.61,40.8,56.0,4.28,50,14,110,1.39
SMH,HOLDOUT,6329,0.7,0.98,33.7,75.0,6.45,36,9,250,3.46
SMH,FULL,3487,0.52,0.71,47.7,67.2,3.7,232,62,1248,2.36
IWM,IS,1381,0.34,0.46,29.2,50.7,2.23,152,41,251,1.31
IWM,OOS,1263,0.24,0.34,24.7,48.4,2.32,31,8,0,1.0
IWM,HOLDOUT,973,0.21,0.3,18.4,45.8,1.65,48,13,-53,0.85
IWM,FULL,1281,0.29,0.4,39.5,49.4,2.12,231,62,198,1.15
