asset,window,pnl_per_yr,sharpe,sortino,max_dd_pct,tv_dd_pct,win_rate,pf,trades,ov_campaigns,ov_pnl,ov_pf
SPY,IS,1145,0.38,0.52,21.9,17.4,47.8,1.42,161,25,748,2.91
SPY,OOS,150,0.04,0.05,31.9,27.2,37.5,1.25,48,7,44,1.31
SPY,HOLDOUT,3757,1.18,1.69,10.8,6.7,45.5,3.94,55,11,133,1.61
SPY,FULL,1504,0.48,0.65,38.6,33.9,45.5,1.62,264,43,925,2.24
QQQ,IS,2261,0.6,0.82,25.9,20.5,42.9,1.68,189,28,453,1.73
QQQ,OOS,2752,0.57,0.77,20.8,12.9,32.7,1.91,49,6,-192,0.23
QQQ,HOLDOUT,4902,1.03,1.49,20.1,14.3,38.5,2.09,78,14,99,1.23
QQQ,FULL,2864,0.69,0.95,25.9,20.5,40.2,1.82,316,48,360,1.28
SMH,IS,1936,0.41,0.56,40.3,35.5,40.7,1.36,236,33,-63,0.94
SMH,OOS,1305,0.2,0.28,48.1,44.3,37.8,1.21,82,7,-94,0.58
SMH,HOLDOUT,8143,0.99,1.46,37.5,31.0,38.9,1.63,157,20,-164,0.76
SMH,FULL,3067,0.52,0.74,48.1,44.7,39.6,1.42,475,60,-321,0.83
IWM,IS,196,0.05,0.07,40.1,35.5,38.4,1.0,211,28,235,1.4
IWM,OOS,-1918,-0.43,-0.58,41.7,37.2,31.3,0.82,67,9,-163,0.43
IWM,HOLDOUT,980,0.21,0.31,18.4,15.1,37.3,1.24,83,13,-119,0.66
IWM,FULL,13,0.0,0.0,50.5,45.7,36.8,1.0,361,50,-47,0.96
