overlay,asset,window,pnl_per_yr,sharpe,max_dd_pct,tv_dd_pct,win,pf,trades,ov_pnl
1,SPY,IS,1539,0.49,24.9,9.2,63.6,3.11,176,699
1,SPY,OOS,1484,0.36,22.9,9.6,60.0,3.46,40,109
1,SPY,HOLDOUT,3167,0.88,18.2,7.1,70.3,4.36,37,200
1,SPY,RECENT,2415,0.63,24.2,10.6,64.9,3.91,77,309
1,SPY,FULL,1854,0.54,24.9,11.1,64.0,3.44,253,1008
1,QQQ,IS,2570,0.54,33.0,18.7,58.4,3.38,185,422
1,QQQ,OOS,5208,0.76,33.2,4.6,61.4,10.0,44,64
1,QQQ,HOLDOUT,4425,0.84,32.9,8.2,58.6,6.15,29,53
1,QQQ,RECENT,4775,0.79,35.6,8.2,60.3,9.41,73,117
1,QQQ,FULL,3361,0.64,35.6,18.7,58.9,4.85,258,539
1,SMH,IS,2579,0.48,35.6,25.6,69.2,2.68,146,888
1,SMH,OOS,3597,0.44,40.8,20.6,56.0,4.28,50,110
1,SMH,HOLDOUT,6329,0.7,33.7,15.0,75.0,6.45,36,250
1,SMH,RECENT,5108,0.59,47.7,27.1,64.0,5.19,86,360
1,SMH,FULL,3487,0.52,47.7,27.1,67.2,3.7,232,1248
1,IWM,IS,1381,0.34,29.2,12.8,50.7,2.23,152,251
1,IWM,OOS,1263,0.24,24.7,13.0,48.4,2.32,31,0
1,IWM,HOLDOUT,973,0.21,18.4,15.2,45.8,1.65,48,-53
1,IWM,RECENT,1103,0.22,39.5,22.7,46.8,1.95,79,-52
1,IWM,FULL,1281,0.29,39.5,22.7,49.4,2.12,231,198
0,SPY,IS,1479,0.48,24.5,8.6,45.8,3.28,24,0
0,SPY,OOS,1455,0.36,22.6,9.3,33.3,3.69,6,0
0,SPY,HOLDOUT,3114,0.87,18.2,7.1,42.9,4.49,7,0
0,SPY,RECENT,2373,0.62,24.0,10.6,38.5,4.1,13,0
0,SPY,FULL,1800,0.54,24.5,11.2,43.2,3.63,37,0
0,QQQ,IS,2535,0.54,32.7,18.5,34.8,3.61,23,0
0,QQQ,OOS,5187,0.77,33.0,4.6,40.0,10.0,5,0
0,QQQ,HOLDOUT,4410,0.84,32.7,8.2,40.0,6.57,5,0
0,QQQ,RECENT,4757,0.8,35.4,8.2,40.0,10.0,10,0
0,QQQ,FULL,3333,0.64,35.4,18.5,36.4,5.27,33,0
0,SMH,IS,2506,0.47,35.1,25.3,34.5,2.68,29,0
0,SMH,OOS,3556,0.44,40.4,20.5,37.5,4.43,8,0
0,SMH,HOLDOUT,6261,0.7,33.7,15.0,55.6,6.53,9,0
0,SMH,RECENT,5053,0.59,47.3,26.8,47.1,5.33,17,0
0,SMH,FULL,3420,0.51,47.3,26.8,39.1,3.75,46,0
0,IWM,IS,1360,0.34,28.9,12.6,27.6,2.29,29,0
0,IWM,OOS,1263,0.25,24.7,12.4,14.3,2.39,7,0
0,IWM,HOLDOUT,987,0.21,18.0,14.9,33.3,1.72,9,0
0,IWM,RECENT,1110,0.23,39.2,22.4,25.0,2.02,16,0
0,IWM,FULL,1270,0.29,39.2,22.4,26.7,2.18,45,0
